periodo;va_financiero_b2015_equiv;fuente
2000_I;2403,632985;base2005_retroproyectada
2000_II;2462,100358;base2005_retroproyectada
2000_III;2517,794574;base2005_retroproyectada
2000_IV;2559,160818;base2005_retroproyectada
2001_I;2577,648525;base2005_retroproyectada
2001_II;2619,245866;base2005_retroproyectada
2001_III;2664,309651;base2005_retroproyectada
2001_IV;2750,73968;base2005_retroproyectada
2002_I;2749,815295;base2005_retroproyectada
2002_II;2827,69476;base2005_retroproyectada
2002_III;2882,002399;base2005_retroproyectada
2002_IV;2919,208909;base2005_retroproyectada
2003_I;2971,898873;base2005_retroproyectada
2003_II;3047,005182;base2005_retroproyectada
2003_III;3100,619532;base2005_retroproyectada
2003_IV;3177,112419;base2005_retroproyectada
2004_I;3298,669092;base2005_retroproyectada
2004_II;3362,682777;base2005_retroproyectada
2004_III;3429,469618;base2005_retroproyectada
2004_IV;3543,169015;base2005_retroproyectada
2005_I;3704,379874;base2015
2005_II;3872,425051;base2015
2005_III;4011,501465;base2015
2005_IV;3835,69361;base2015
2006_I;4091,208264;base2015
2006_II;4039,047844;base2015
2006_III;4137,451347;base2015
2006_IV;4172,292545;base2015
2007_I;4449,169659;base2015
2007_II;4704,70994;base2015
2007_III;4678,527275;base2015
2007_IV;4869,593126;base2015
2008_I;4995,858795;base2015
2008_II;4992,050625;base2015
2008_III;5167,932846;base2015
2008_IV;5442,157735;base2015
2009_I;5375,689322;base2015
2009_II;5267,349099;base2015
2009_III;5369,440468;base2015
2009_IV;5302,521111;base2015
2010_I;5233,51173;base2015
2010_II;5544,258421;base2015
2010_III;5727,719724;base2015
2010_IV;5806,510125;base2015
2011_I;5951,757436;base2015
2011_II;6121,522097;base2015
2011_III;6249,899501;base2015
2011_IV;6430,820966;base2015
2012_I;6471,195098;base2015
2012_II;6664,419502;base2015
2012_III;6674,707611;base2015
2012_IV;6815,677789;base2015
2013_I;7106,568398;base2015
2013_II;7229,028696;base2015
2013_III;7166,866039;base2015
2013_IV;7657,536868;base2015
2014_I;7755,699898;base2015
2014_II;7973,820135;base2015
2014_III;8127,724799;base2015
2014_IV;8281,755168;base2015
2015_I;8626,168683;base2015
2015_II;8666,803426;base2015
2015_III;8803,145839;base2015
2015_IV;8599,882052;base2015
2016_I;8852,349872;base2015
2016_II;8790,543198;base2015
2016_III;8997,17596;base2015
2016_IV;9085,93097;base2015
2017_I;9102,107219;base2015
2017_II;9437,669589;base2015
2017_III;9379,573576;base2015
2017_IV;9731,649616;base2015
2018_I;9466,083507;base2015
2018_II;9837,037682;base2015
2018_III;9779,160895;base2015
2018_IV;9974,717916;base2015
2019_I;10117,34285;base2015
2019_II;10329,27808;base2015
2019_III;10588,10576;base2015
2019_IV;10470,27331;base2015
2020_I;10338,9049;base2015
2020_II;10468,38238;base2015
2020_III;10789,66679;base2015
2020_IV;10836,04593;base2015
2021_I;10828,81577;base2015
2021_II;10828,75389;base2015
2021_III;11019,35608;base2015
2021_IV;11326,07427;base2015
2022_I;10465,99596;base2015
2022_II;12066,02601;base2015
2022_III;12053,41228;base2015
2022_IV;12354,56576;base2015
2023_I;12957,78988;base2015
2023_II;12629,94973;base2015
2023_III;12347,75222;base2015
2023_IV;13199,50817;base2015
2024_I;12676,36748;base2015
2024_II;12903,0185;base2015
2024_III;12943,35008;base2015
2024_IV;13161,26394;base2015
2025_II;13259,4847;base2015
2025_III;13470,78285;base2015
2025_IV;13242,94283;base2015
